ID,Data_name,Title,Event_name,Type,Date,Time,Cause,Land,County,Town,Village,Place,X,Y,Resource,Description
1,DF20060609-001.pdf,95年0609 豪雨-高雄六龜-001,950609豪雨,土石流,2006-06-09,18:00,崩塌地主要岩性為板岩，片理發達易崩解破壞，而連日大雨導致上游崩塌範圍擴大，又6月9日大豪雨使崩塌土石含水量突增，且溪床坡度提供足夠之勢能進而導致土石流發生。,林班地占100%,高雄市,六龜區,大津里,地標：大津靈修營地(台27線里程22k處),120.649331,22.905439,水土保持局第四工程所,"土石淤埋：台27線旁農路遭土石淤埋。
  土石堵塞：台27線旁農路下方排水箱涵及排水溝遭土石堵塞。"
2,DF20060609-002.pdf,95年0609 豪雨-南投信義-001,950609豪雨,崩塌,2006-06-09,5:00,災害地點為山腹地形，地質構造主要由四稜砂岩組成，覆土層多為軟弱岩層與風化土層，因連日降雨雨水入滲，使土層及岩體含水量增加，抗剪強度降低，進而產生土體滑動，形成崩塌及上方民宅前空地及道路龜裂。,山坡地占100%,南投縣,信義鄉,人和村,地標：人和國小(民生巷自人倫橋起算，沿民生巷東行約2.9公里處),120.895306,23.776939,人和村金財富村長,"1.民生巷路基約100公尺崩塌至卓棍溪河谷，致使道路上方2戶民宅前空地及通道龜裂。(崩塌範圍：長約150公尺;寬約100公尺;高約75公尺;面積約為1.5公頃)
  2.民生巷道路及擋土牆損毀100公尺，道路中斷，影響村民往來交通。"
3,DF20060609-003.pdf,95年0609 豪雨-南投仁愛-002,950609豪雨,崩塌,2006-06-09,5:00,"根據中央地調所地質資料顯示，本勘查地區災害地點所在地層為廬山層，主要由黑色到深灰色硬頁岩;板岩及千枚岩夾砂岩所組成，並含有零星散布的泥灰岩團塊，結構上因劈理發達，近地表處岩層風化較為嚴重。另外，本區域山嶺呈東北走向，地勢由東南向西北遞降，地形坡面為北偏東約30 度;坡度約為60 度左右，岩層走向為北偏東約60 度;傾角為45度向西左右，因此初步研判災害地點係位於順向坡上。
  由於該區域地形地質不良，受到連日大雨（0609 豪雨）侵襲，坡面排水不良導致蝕溝頻生，造成坡腳因沖刷流失，加上上方土層與岩體含水量與自重增加等影響因素，增加土體下滑動驅動力，導致邊坡崩塌。
  崩塌災害造成下方翠巒支線道路損壞以及聚落;農田(茶園)等保全對象受到嚴重影響，因此應先做好災區緊急處置，避免災情擴大等控損措施，後續工作則建議優先辦理坡面地質監測與試驗等相關工作，對災害發生原因進行確認，俾便作為研擬治理對策之參考依據。",原住民保留地占100%,南投縣,仁愛鄉,翠華村,地標：力行產業道路42k+700處（與力行產業道路翠巒支線交會處）,121.214495,24.195787,水土保持局第三工程所,南投縣仁愛鄉力行產業道路約42k+700附近翠巒聚落，原九二一地震;72水災後已有地層滑動及崩塌情事發生，然受到民國95年6月9日起連日豪雨侵襲，力行產業道路沿線以及翠巒聚落發生大規模崩塌，造成力行產業道路翠巒支線中斷，民宅建物5棟遭到損毀，農地約15公頃嚴重流失。目前通往翠巒聚落支線道路已有便道可通達，但災害地點地形尚未穩定，時有崩塌情形發生，通過時需謹慎小心。(崩塌範圍：長約600m，寬約250m，高度約為330m，面積約為15公頃)
4,DF20060609-004.pdf,95年0609 豪雨-雲林林內,950609豪雨,崩塌,2006-06-09,17:00,災害地點為丘陵地形，地質構造包含卵礫石夾棕黃色粉土及灰色與黃棕色砂質泥岩，其特性為柔軟且易受侵蝕，因此於連日大雨侵襲下，易導致土質鬆滑而崩塌。,林班地占100%,雲林縣,林內鄉,坪頂村,地標：台3線與雲61線交會口往坪頂村方向約3km處(活動中心前雲61線道旁),120.638426,23.753579,當地居民,民國95年6月9日17時左右，雲61線公路於坪頂村入口段因連續下雨造成路基邊坡土石崩塌，同側有倉庫兩座因座落於邊坡上，亦隨著邊坡的滑動造成建物毀損。(崩塌範圍：長約60公尺;寬20公尺;高10公尺;面積約0.12公頃)
5,DF20060610-005.pdf,95年0609 豪雨-南投仁愛-001,950609豪雨,崩塌;地滑,2006-06-10,15:00,"經本次現勘該區域北側崩塌與南側輕微地滑發生原因，初步推估北側崩塌係因9號鄉道與台14線交會處地勢較低附近排水系統均由此處直接排放至崩塌區凹谷，下方邊坡因沖刷關係導致坡腳流失造成上方道路路基流失，擋土牆斷裂掉落，進而影響上方住宅局部基礎掏空傾斜；此外，南側地滑係因該區覆土層多為軟弱岩屑與風化土層，因連日降雨雨水入滲，使土層及岩體之含水量增加即土體自重增加（下滑驅動力增加），抗剪強度降低，進而產生土體局部輕微滑動，造成台14線路面塌陷龜裂。
  後續工作建議應優先辦理相關排水系統檢討（含道路排水與坡面排水），並進行相關之坡面監測工作，以對坡面滑動發生原因作進一步之確認，並作為整治措施研擬之依據。",原住民保留地占100%,南投縣,仁愛鄉,大同村,地標：台電萬大電廠第二號辦公室(霧社9號鄉道與台14線約79K+250交會處),121.130714,24.020169,水土保持局第三工程所,"1. 9號鄉道下方邊坡因豪雨沖刷滑落導致路基流失而中斷。崩塌範圍：寬約130公尺，長約200公尺，高約120公尺，面積約2.2公頃。
  2. 9號鄉道上方整排民宅基礎局部掏空，房屋傾斜。
  3. 與9號鄉道交會處之台14線(轉彎段)道路因邊坡局部滑動導致路面下陷龜裂，長約200公尺。"
6,DF20060610-006.pdf,95年0609 豪雨-高雄六龜-002,950609豪雨,土石流,2006-06-10,6:00,"本次災害地點津鳳宮後方野溪所屬集水區之地層材料主要為板岩，土石料源主要來自集水區上游之崩塌地。本區板岩之片理發達且膠結力甚弱易崩解破壞，而95年5月下旬以來的梅雨鋒面徘徊台灣地區上空持續降雨，連日大雨導致上游崩塌範圍擴大，又6月9日至10之大豪雨使崩塌土石含水量突增，且溪床坡度提供足夠之勢能進而導致土石流發生。
  由於本野溪下游出口即位於津鳳宮後方，幾無任何緩衝帶及疏導設施，故林務局屏東林區管理處於民國87年6月完成此野溪之「望山腳一期崩塌地處理工程」，於野溪下游出口處施作3道防砂壩，而後向南轉向沿山腳設置約150公尺長之混凝土護岸及連續固床工，以期將溪流導流向南避開既有台27線與山腳間之眾多民宅住戶。
  然於民國93年敏督利颱風及95年0609豪雨期間，此野溪爆發土石流，由於既有津鳳宮後方之河道轉向近乎垂直，而土石流下衝直進力大，遇彎道流速減緩產生堆積堵塞，進而使土石溢流河道衝入民宅，但所幸未造成人員傷亡。目前林務局屏東林區管理處於民國95年9月完成「望山腳四期崩塌地處理工程」，加高該彎道處右側(民宅側)護岸約1公尺，以期減少未來土石再次溢流河道侵入民宅之可能。",林班地占100%,高雄市,六龜區,大津里,地標：津鳳宮(台27線里程22.2k處),120.64881,22.903424,六龜鄉公所,"95年0609豪雨期間，津鳳宮後方野溪於6月10日6時爆發土石流，造成下方津鳳宮及鄰近房屋受損。
  土石淤埋：津鳳宮兩側約3戶民宅遭溢流河道之土石泥流侵入。
  土石堵塞：津鳳宮後方溪流彎道處之河道土石堆積堵塞。
  其他：大津村3鄰至7鄰電力中斷約3日。"
7,DF20060610-007.pdf,95年0609 豪雨-南投水里-001,950609豪雨,土石流,2006-06-10,12:00,因連日大雨導致右岸支流上游崩塌範圍擴大，而後6月9日及10降下之大豪雨使土石含水量突增，且溪床坡度提供足夠之勢能，使流動的土體轉化成為土石流造成災害。,山坡地約占50%;林班地約占50%,南投縣,水里鄉,上安村,"地標1：安山三號橋
  地標2：上安橋(台21線里程87k處)",120.864828,23.731341,水土保持局第三工程所,"土石淤埋：(1)安山三號橋旁左側三廍巷道路遭土石淤埋，淤埋長度約80公尺。(2)右岸支流土石溢流河道，淤埋三廍巷20號前庭院及左側道路。
  土石堵塞：(1)左右岸支流匯流口下游側河道遭土石堆積堵塞。(2)安山三號橋孔遭土石堵塞。
  其他：安山三號橋左側三廍巷道路旁四根電線桿遭土石撞擊傾倒。"
8,DF20060610-008.pdf,95年0609 豪雨-苗栗卓蘭-001,950609豪雨,地滑,2006-06-10,5:00,"經對現地居民訪談得知，本滑動區自921集集大地震起即有滑動情況發生，而民國93年敏督利颱風時亦產生局部小規模滑動，當時坡面產生落差約1公尺之陷落及裂隙。
  本次現地勘查結果與所收集之地質資料進行比對，本滑動區係位於順向坡上，地層屬卓蘭層，滑動體主要材料為表層覆土與風化砂岩，偶夾薄層泥岩。本次大規模地滑發生原因，初步推估係因連日降雨雨水由既有坡地上方裂隙入滲，土層及風化岩體之含水量與自重增加，強度降低，且坡面裂隙蓄積之地下水，配合滑動面昇高之孔隙水壓增加滑動土體之驅動力，進而產生滑動破壞。
  後續工作建議應優先辦理地質鑽探與相關之坡面監測與試驗工作，以對坡面滑動發生原因作進一步之確認，並作為整治措施研擬之依據。",山坡地占100%,苗栗縣,卓蘭鎮,上新里,地標：食水坑休閒農業區(台3線與卓蘭鎮中山路交會口起算，沿苗55鄉道東行約3.5公里處),120.846106,24.307291,當地受災居民,"1.滑動區寬約80公尺，長約250公尺，滑動面積約2公頃。
  2.滑動區房舍遭推擠錯動破壞。
  3.苗55鄉道遭滑動土體掩埋，長度約80公尺。"
9,DF20060610-009.pdf,95年0609 豪雨-苗栗苗栗-001,950609豪雨,崩塌,2006-06-10,8:00,災害地點所在地層為頭嵙山層香山段，主要由灰色與黃棕色風化砂岩所組成，結構疏鬆膠結不良，因連日大雨侵襲導致邊坡失穩崩塌，崩塌之土石覆蓋下方鐵軌而造成火車出軌意外。,山坡地占100%,苗栗縣,苗栗市,新英里,地標：台鐵台中線k145處,120.799586,24.54312,水土保持局第二工程所,民國95年6月10日上午8時左右，由於連日來之大雨侵襲造成鐵路台中線k145處旁上邊坡土石崩塌，滑落之土石掩埋靠山側之鐵路軌道，鐵軌覆蓋寬度約50公尺。由於崩塌之土石未立即清淤處理，造成台鐵南下1003號次自強號（松山開往高雄）於8時47分左右撞到覆蓋鐵軌之土石而導致車廂翻覆出軌，車上約750名乘客飽受驚嚇冒雨疏散，受傷人員分別為司機員及五名乘客等共六員輕傷送醫處理。
10,DF20070522-010.pdf,96年其他-雲林林內-001,96其他,崩塌,2007-05-22,6:00,災害地點為丘陵地形，地層主要為頭嵙山層，由礫岩及灰色與黃棕色砂質泥岩(sandy mudstone)所組成，其特性為柔軟且易受侵蝕，在向源侵蝕作用與河谷解壓作用下，使得張力裂縫不斷產生，崩崖後退而造成崩塌產生。,林班地占100%,雲林縣,林內鄉,坪頂村,地標：台3線與雲61線交會口往坪頂村方向約3km處(活動中心前雲61線道旁),120.638071,23.754247,林村長賢宗,雲61線公路坪頂村入口段於95年0609豪雨時發生路基邊坡土石崩塌，目前正進行復建中，本次豪雨於96年5月22日上午06時左右再度造成路基崩塌擴大，路基流失約40公尺，產生長約20公尺;寬40公尺，面積約800平方公尺的崩塌地。另有自來水管扯斷，但在自來水公司搶修下，已恢復供水。
